year,Forest area,Water productivity_total,Improved water source ,Improved sanitation facilities,Energy use ,CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita)
1960,0,0,0,0,5641.740755,15.99977916,4049.786629
1961,0,0,0,0,5612.079503,15.68125552,4182.175501
1962,0,0,0,0,5774.586315,16.0139375,4433.606021
1963,0,0,0,0,5986.783954,16.48276215,4690.486256
1964,0,0,0,0,6136.93823,16.96811858,4970.446456
1965,0,0,0,0,6307.890202,17.45172525,5234.685002
1966,0,0,0,0,6591.340558,18.12107301,5590.33374
1967,0,0,0,0,6809.820484,18.59831788,5888.340915
1968,0,0,0,0,7073.478949,19.08938916,6385.459329
1969,0,0,0,0,7332.368547,19.85794566,6904.8338
1970,0,0,0,0,7569.076595,21.11125227,7236.657043
1971,0,0,0,0,7644.524802,20.98020348,7517.304646
1972,0,0,0,0,7940.997832,21.74864198,8076.409269
1973,0,0,0,0,8163.603792,22.51058213,8573.194154
1974,0,0,0,0,7909.58648,21.50293038,8449.928456
1975,0,0,0,0,7656.263579,20.40222407,8522.394003
1976,0,0,0,0,8100.562222,21.15761537,8968.775655
1977,0,0,0,0,8285.570898,21.53248401,9337.724018
1978,0,0,0,0,8438.403077,21.97300469,9560.54541
1979,0,0,0,0,8327.041705,21.78043698,9700.695386
1980,0,0,0,0,7942.253018,20.78648774,9862.365497
1981,0,0,0,0,7647.538054,19.76676417,9976.693715
1982,0,12.69184654,0,0,7259.078899,18.59049523,9544.460943
1983,0,0,0,0,7199.118533,18.57154371,9742.005714
1984,0,0,0,0,7443.320017,18.97675027,10282.37464
1985,0,0,0,0,7456.262903,18.88231274,10414.2079
1986,0,0,0,0,7376.096238,18.72072272,10424.4273
1987,0,0,0,0,7622.173017,19.35033442,10886.85826
1988,0,0,0,0,7849.75397,20.01041341,11298.33251
1989,0,0,0,0,7890.287202,20.07576978,11531.93231
1990,3024500,0,98.4,99.5,7671.773066,19.32275118,11713.3317
1991,3025586,0,98.4,99.5,7631.467806,19.05616319,12134.17213
1992,3026672,16.77049079,98.5,99.6,7677.401401,19.13943728,12014.95825
1993,3027758,0,98.5,99.6,7709.496589,19.34708291,12261.52378
1994,3028844,0,98.6,99.6,7757.830822,19.36089205,12455.16217
1995,3029930,0,98.6,99.6,7763.755106,19.27654526,12659.60763
1996,3031016,0,98.7,99.7,7844.468266,19.49602474,12854.29891
1997,3032102,0,98.7,99.7,7828.581096,19.69036318,12889.83228
1998,3033188,0,98.7,99.7,7803.697605,19.5792362,13154.76303
1999,3034274,0,98.8,99.7,7923.223893,19.72716951,13281.86998
2000,3035360,0,98.8,99.7,8056.86385,20.17875051,13671.05202
2001,3037802,0,98.8,99.8,7827.886325,19.63650507,13046.61415
2002,3040244,23.36210081,98.9,99.8,7843.344849,19.61340408,13296.1823
2003,3042686,0,98.9,99.8,7794.23553,19.56410453,13307.49201
2004,3045128,0,98.9,99.8,7881.578642,19.65837118,13388.58971
2005,3047570,0,99,99.8,7846.499688,19.59188523,13704.57705
2006,3055496,0,99,99.9,7697.652535,19.09406652,13583.26696
2007,3063422,26.7699063,99,99.9,7758.165986,19.21789784,13657.45283
2008,3071348,0,99,99.9,7488.081921,18.46176387,13663.42797
2009,3079274,0,99.1,99.9,7056.783653,17.15773779,12913.71469
2010,3087200,0,99.1,99.9,7160.939243,17.44161513,13393.99128
2011,3089950,0,99.1,100,7028.152876,16.97241709,13242.48711
2012,3092700,32.0060991,99.1,100,6869.385326,16.30402162,12959.20384
2013,3095450,0,99.2,100,6902.43283,16.31587885,12998.062
2014,3098200,33.31436429,99.2,100,6956.813731,16.49366613,12986.7407
2015,3100950,0,99.2,100,6800.654493,0,0
2016,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0
